Date,Price_beef_infl,Price_rice_infl,Price_coffee_infl
2070-05-01,9.72,0.89,6.02
2070-06-01,9.73,0.89,6.03
2070-07-01,9.73,0.89,6.03
2070-08-01,9.74,0.89,6.03
2070-09-01,9.75,0.89,6.04
2070-10-01,9.76,0.89,6.04
2070-11-01,9.76,0.89,6.04
2070-12-01,9.77,0.89,6.04
2071-01-01,9.78,0.89,6.05
2071-02-01,9.79,0.89,6.05
2071-03-01,9.79,0.89,6.05
2071-04-01,9.80,0.89,6.06
2071-05-01,9.81,0.89,6.06
2071-06-01,9.82,0.89,6.06
2071-07-01,9.83,0.89,6.07
2071-08-01,9.83,0.89,6.07
2071-09-01,9.84,0.89,6.07
2071-10-01,9.85,0.89,6.08
2071-11-01,9.86,0.89,6.08
2071-12-01,9.86,0.90,6.08
2072-01-01,9.87,0.90,6.08
2072-02-01,9.88,0.90,6.09
2072-03-01,9.89,0.90,6.09
2072-04-01,9.89,0.90,6.09
2072-05-01,9.90,0.90,6.10
2072-06-01,9.91,0.90,6.10
2072-07-01,9.92,0.90,6.10
2072-08-01,9.93,0.90,6.11
2072-09-01,9.93,0.90,6.11
2072-10-01,9.94,0.90,6.11
2072-11-01,9.95,0.90,6.12
2072-12-01,9.96,0.90,6.12
2073-01-01,9.96,0.90,6.12
2073-02-01,9.97,0.90,6.12
2073-03-01,9.98,0.90,6.13
